method,num_signals,average_tau_std
WLS,10,0.387867
WLS,20,0.441638
WLS,30,0.468560
WLS,40,0.452282
WLS,50,0.451142
WLS,60,0.498898
WLS,70,0.492888
WLS,80,0.544427
WLS,90,0.526454
WLS,100,0.521792
WLS,110,0.507781
WLS,120,0.509884
WLS,130,0.508209
WLS,140,0.515782
WLS,150,0.516046
OLS,10,0.521497
OLS,20,0.594954
OLS,30,0.595834
OLS,40,0.558675
OLS,50,0.534988
OLS,60,0.587120
OLS,70,0.581659
OLS,80,0.650327
OLS,90,0.629609
OLS,100,0.621311
OLS,110,0.603534
OLS,120,0.594907
OLS,130,0.588350
OLS,140,0.592071
OLS,150,0.601312
WLS_QC,10,0.189786
WLS_QC,20,0.234089
WLS_QC,30,0.242671
WLS_QC,40,0.255275
WLS_QC,50,0.259526
WLS_QC,60,0.264777
WLS_QC,70,0.267376
WLS_QC,80,0.272563
WLS_QC,90,0.272132
WLS_QC,100,0.272649
WLS_QC,110,0.270042
WLS_QC,120,0.276626
WLS_QC,130,0.276876
WLS_QC,140,0.286297
WLS_QC,150,0.289979
OLS_QC,10,0.217096
OLS_QC,20,0.263565
OLS_QC,30,0.279842
OLS_QC,40,0.291847
OLS_QC,50,0.298837
OLS_QC,60,0.297588
OLS_QC,70,0.299318
OLS_QC,80,0.301594
OLS_QC,90,0.303734
OLS_QC,100,0.303390
OLS_QC,110,0.302707
OLS_QC,120,0.303396
OLS_QC,130,0.305619
OLS_QC,140,0.305459
OLS_QC,150,0.305556
robust,10,0.448576
robust,20,0.492029
robust,30,0.521469
robust,40,0.495239
robust,50,0.476471
robust,60,0.513940
robust,70,0.509003
robust,80,0.573515
robust,90,0.555780
robust,100,0.550555
robust,110,0.535502
robust,120,0.526137
robust,130,0.523107
robust,140,0.523936
robust,150,0.528755
robust_QC,10,0.211740
robust_QC,20,0.257581
robust_QC,30,0.273312
robust_QC,40,0.285190
robust_QC,50,0.291618
robust_QC,60,0.290341
robust_QC,70,0.291407
robust_QC,80,0.293417
robust_QC,90,0.295527
robust_QC,100,0.295052
robust_QC,110,0.294128
robust_QC,120,0.294725
robust_QC,130,0.296784
robust_QC,140,0.296732
robust_QC,150,0.296518
