filename,Raw_successful_fits,Raw_I0_mean,Raw_Tau_mean,Raw_B_mean,Raw_Residuals_Std_mean,Raw_I0_std,Raw_Tau_std,Raw_B_std,Raw_Residuals_Std_std,Raw_I0_min,Raw_Tau_min,Raw_B_min,Raw_Residuals_Std_min,Raw_I0_max,Raw_Tau_max,Raw_B_max,Raw_Residuals_Std_max,Savitzky-Golay_successful_fits,Savitzky-Golay_I0_mean,Savitzky-Golay_Tau_mean,Savitzky-Golay_B_mean,Savitzky-Golay_Residuals_Std_mean,Savitzky-Golay_I0_std,Savitzky-Golay_Tau_std,Savitzky-Golay_B_std,Savitzky-Golay_Residuals_Std_std,Savitzky-Golay_I0_min,Savitzky-Golay_Tau_min,Savitzky-Golay_B_min,Savitzky-Golay_Residuals_Std_min,Savitzky-Golay_I0_max,Savitzky-Golay_Tau_max,Savitzky-Golay_B_max,Savitzky-Golay_Residuals_Std_max,SimpleRNN_successful_fits,SimpleRNN_I0_mean,SimpleRNN_Tau_mean,SimpleRNN_B_mean,SimpleRNN_Residuals_Std_mean,SimpleRNN_I0_std,SimpleRNN_Tau_std,SimpleRNN_B_std,SimpleRNN_Residuals_Std_std,SimpleRNN_I0_min,SimpleRNN_Tau_min,SimpleRNN_B_min,SimpleRNN_Residuals_Std_min,SimpleRNN_I0_max,SimpleRNN_Tau_max,SimpleRNN_B_max,SimpleRNN_Residuals_Std_max,improvedrnn_successful_fits,improvedrnn_I0_mean,improvedrnn_Tau_mean,improvedrnn_B_mean,improvedrnn_Residuals_Std_mean,improvedrnn_I0_std,improvedrnn_Tau_std,improvedrnn_B_std,improvedrnn_Residuals_Std_std,improvedrnn_I0_min,improvedrnn_Tau_min,improvedrnn_B_min,improvedrnn_Residuals_Std_min,improvedrnn_I0_max,improvedrnn_Tau_max,improvedrnn_B_max,improvedrnn_Residuals_Std_max,CONV_successful_fits,CONV_I0_mean,CONV_Tau_mean,CONV_B_mean,CONV_Residuals_Std_mean,CONV_I0_std,CONV_Tau_std,CONV_B_std,CONV_Residuals_Std_std,CONV_I0_min,CONV_Tau_min,CONV_B_min,CONV_Residuals_Std_min,CONV_I0_max,CONV_Tau_max,CONV_B_max,CONV_Residuals_Std_max
processed_data_batch_1.npz,150,1.4357736253424154,139.1743146509167,0.020698831380763554,0.00415309085640838,0.053912884895588556,2.5084190066412404,0.0011415772573347795,0.002175440223550788,1.1711215266501176,121.52225168502818,0.015442082272779985,0.0033646029994963576,1.4988415001759459,154.33681459991192,0.028921651369809072,0.020403888523892178,150,1.435777041181207,139.17391390454816,0.02069911448972872,0.0017421406881224484,0.053913328274118655,2.508846077339004,0.0011420250906688464,0.002658833496049276,1.1711415199989121,121.5231311465134,0.01543463237975383,0.0006624851515693611,1.4988811837889269,154.3484052596346,0.0289212304179237,0.020076028770012487,150,1.4356386324436912,139.20292966184817,0.02057369848697083,0.0014292945929763456,0.05378543582639192,2.5039088431671326,0.0011322715605707012,0.002435987375758914,1.1714137537053504,121.58888447500797,0.015481604938331704,0.0003403865683612588,1.4987253035178754,154.03182300461046,0.028704649919162842,0.01869522689285508,150,1.435957819343541,139.1564532318434,0.020657606580101,0.0014815087101939326,0.05386108923051133,2.509169203153776,0.0011363284340456994,0.002510264741619746,1.1713757879736313,121.60038067466104,0.015333073734348356,0.0004459387326795873,1.4990596277748234,154.31586360235883,0.028744735662300267,0.018666877053494492,150,1.4368177103603401,139.07988703452753,0.0207371475754535,0.001381007689278272,0.0545931777918983,2.455169339094207,0.0011030700183495728,0.0024681446577689246,1.171693644364084,123.30101039244738,0.014989609412586924,0.0003036450897152162,1.4999455612214354,155.1154346487907,0.028010257691373608,0.017455495245987624
processed_data_batch_2.npz,150,1.4461979583419153,139.71940203769424,0.01962716088085935,0.0034758801256910324,0.037339125540217566,0.33275632225109436,0.0005493723665674319,6.61751135456563e-05,1.2767497035527313,138.73914596795987,0.018563967451568877,0.003331197086952255,1.4860694650473105,140.3333417482364,0.020658348958981464,0.0036847156364335385,150,1.446200202160974,139.7191543442476,0.01962727411460463,0.0008038562279698521,0.037338101908055754,0.33320742724973884,0.00054942903446648,6.665726920547964e-05,1.2767594464678707,138.74075250865988,0.018564372439270293,0.0006611860224010518,1.486015307727259,140.33825436282504,0.020655620304302773,0.0010183208193149385,150,1.4460216768351317,139.74712323634841,0.01951512255467069,0.0005393275842202488,0.03730913069338014,0.3296242410390879,0.0005411134958000792,7.318997123320988e-05,1.2769520249374724,138.74847449732962,0.01848431528199835,0.00038662841670025213,1.4863710787625126,140.37073705155822,0.020576532064055682,0.0008136937094228355,150,1.4463513082126302,139.69407360498369,0.01960656106264051,0.0005618426616125648,0.037325203029587466,0.33046627960580693,0.0005401252130707716,5.996179172398948e-05,1.2768358602182366,138.707870236998,0.018571310260599334,0.0004418968034409495,1.486412655490623,140.3157146704956,0.02064419637816,0.0007244160719743385,150,1.4474433214631843,139.59930608264088,0.019683838841702207,0.0004529930874123302,0.037411028134005195,0.33616530381415016,0.0005455369556705621,7.986901917779292e-05,1.2774625139061715,138.6280908701431,0.01863410585908627,0.00031297619759787195,1.487374618542795,140.1960730257647,0.020712992104187433,0.0006966605631220137
processed_data_batch_3.npz,150,1.45737474082758,139.3761236009034,0.018768030023998766,0.0034775042994466187,0.028372512061257925,0.3009628793115391,0.00015751475998285633,7.49029106814631e-05,1.3378314897348964,138.6507070185191,0.01843393882126304,0.003298892313964243,1.5052947354504096,140.22432782340545,0.01915253990062846,0.0036819224805273716,150,1.4573772087143761,139.37580338940646,0.018768298398967986,0.0007970591092389223,0.028375642204375363,0.30122294003697414,0.0001573473737824938,7.56644958760689e-05,1.337822113455179,138.6481486660214,0.01843357452581985,0.0006383579161490392,1.5053038282336555,140.22598517194265,0.019155066368382056,0.0010567425494897244,150,1.4571983441341525,139.39892942669744,0.018669086453174017,0.0005460668071565015,0.028383440944592393,0.29841263274295793,0.00015625734557228764,9.367424909350315e-05,1.338056445723168,138.69150668525052,0.01831721621544298,0.0003463524461369367,1.5054901026363616,140.2737517741449,0.019041178526832087,0.0008838908462846768,150,1.4575272605375578,139.3459346063618,0.018760237962801077,0.0005704337746323544,0.028354553053503588,0.2981181568428819,0.00015590793714984289,8.041725986534425e-05,1.338194836875623,138.65126601500882,0.018430420168265304,0.00040280544051965293,1.5055621973062183,140.17867880310197,0.019113229679898685,0.0008992765868696772,150,1.4586767401067888,139.24846371987792,0.018833679909336314,0.00046092493963250937,0.02843557013449254,0.30997422858176865,0.0001630942490047985,9.681978616414733e-05,1.3391013805694127,138.49166714339333,0.01843915613544266,0.00030340586877088084,1.5068927523972908,140.12868665264816,0.019241631354539657,0.0008928300977584069
processed_data_batch_4.npz,150,1.4487158547107637,139.42530557872794,0.01865055729514932,0.003473983304672401,0.03313953229934682,0.37585575757701334,0.00016023849611817683,6.695843427034067e-05,1.2917770954762715,138.45487947078072,0.018292140911371824,0.0033235499614459657,1.4995992356583239,140.37602062326636,0.019092833539434667,0.003641215283177404,150,1.4487180168097553,139.42499628196256,0.018650830232716853,0.0007958886400098667,0.03313850514691498,0.37582872362366126,0.00016025578725284035,7.700645921977878e-05,1.2917532290097948,138.45752558883083,0.018296101693781992,0.0006422781986483116,1.4996080034047456,140.36948219215495,0.019091256653262483,0.0010675699406971116,150,1.4485520833372107,139.4467609408958,0.01855333440159524,0.0005404006095404514,0.03309258844032312,0.3716535852133409,0.00015592264619632644,8.814024117614995e-05,1.2919683881629633,138.50340716469358,0.018193316243797962,0.0003779760291105596,1.4994556760476954,140.38375063251908,0.01897919871638252,0.0009959554536430324,150,1.4488846882062971,139.39175687953076,0.018646001791129057,0.0005640923632243599,0.033123213752521356,0.37406569461040257,0.00015680458849638988,8.28652904338064e-05,1.292016754750212,138.42848610336415,0.018282460624189333,0.000407490815394362,1.4998058363284017,140.33719758053695,0.01908427691048887,0.0008842167606646496,150,1.4500023910099387,139.29649015218052,0.01871893009249172,0.00046758604003473424,0.0332317737017464,0.38273834808426227,0.00016635905704119936,0.00010760530903453356,1.2926061303522287,138.28308963525208,0.01837091474624735,0.00031223705361000965,1.500988049926261,140.2764030450608,0.01919864574070444,0.0008328960926273999
processed_data_batch_5.npz,150,1.4219972761726782,139.79362693150676,0.018653354952343073,0.0034562205532034144,0.06648147718526175,0.22624722274817263,0.00014566377039425043,7.233953086955812e-05,1.137041833719331,139.20604763256776,0.01819876345092883,0.0032453854477395997,1.4939831988486325,140.37654402408936,0.019131786113533757,0.003646831850104161,150,1.4220001796400603,139.79320959548494,0.01865372514474648,0.0007942314397415397,0.06648099659590571,0.2258716170264454,0.0001456122447627206,7.284148911216794e-05,1.1370248689706595,139.2092050780476,0.018195531978768734,0.0006342607593599873,1.4939989347182572,140.38147699692306,0.01913292235539318,0.0010580689025874099,150,1.421845959514055,139.81115721482155,0.018558439368072784,0.000531539765865357,0.06637180477171371,0.23225000599466536,0.00014565470007110235,8.727771407636986e-05,1.137561593259935,139.20354311640574,0.01810857928257159,0.000362632676494389,1.4940400400450022,140.4161230308613,0.019010904926630375,0.0009425135746533587,150,1.4221533382021008,139.76003075256787,0.018648587732508645,0.0005570861943206885,0.06644886460795839,0.22925850022228414,0.00014489781394964575,7.214195130779369e-05,1.137474198970211,139.17133463203817,0.01819146018826184,0.0004290683042355872,1.4941238701010782,140.34861702701164,0.01911228368448701,0.0008425077344696902,150,1.4231991631088314,139.67264700132822,0.018715930364888188,0.000443020699874326,0.06669901003431931,0.21906369505032422,0.00014316847053578747,8.768782979585333e-05,1.1374625894652926,139.11245885499412,0.018266212561881164,0.00025288848039953997,1.4955104836496447,140.27411623305878,0.019182092314884706,0.0006952291194343432
processed_data_batch_6.npz,150,1.443114193409248,139.6230550527635,0.018792468927024023,0.00348015675861692,0.03949783635285387,0.28123465853255714,0.00015246801776868526,6.529853516471275e-05,1.2353688553108773,138.81505171990034,0.018403574353549706,0.0033425638054126595,1.4926635579060192,140.3928157762344,0.01908268917094085,0.0036540066103053223,150,1.443120436395674,139.62234263152413,0.018792865110288628,0.0007963998321340053,0.03949976826163403,0.2809175723467809,0.00015239907926259134,7.239552550309322e-05,1.2353342675018613,138.8119812426039,0.018402087685017464,0.0006479641517809483,1.49267793049868,140.3919630107117,0.019079660701217607,0.0010615491464430486,150,1.442947504094385,139.64394403607585,0.018694020995583826,0.0005479231142830083,0.039435050173409286,0.27956802007498277,0.0001501987440700011,8.554085677640974e-05,1.2355549840448463,138.84011724469391,0.01830784147934533,0.00036803052694708,1.49259322049893,140.4426303890382,0.01899682424230518,0.0008715800343644346,150,1.4432735386151896,139.59074631955423,0.018785659124286626,0.0005677194257194617,0.039476815565900526,0.2820786054036731,0.00015089052746797217,7.490233385183585e-05,1.2354701195729345,138.78157216077767,0.018410492029471058,0.00041822321828139546,1.4927102502723752,140.382628345369,0.019113499235407217,0.0008519555632062561,150,1.4443767494951096,139.49843489574656,0.018856184620300018,0.00045866466598637153,0.0396127847782089,0.2869117423263453,0.00015611108334303143,9.178893385096511e-05,1.2360877301597504,138.71723426508618,0.018472026125054452,0.00031128583159102576,1.4940522710539486,140.22929295411407,0.01916463350902154,0.0008125704234298328
processed_data_batch_7.npz,150,1.4454575447971458,139.60527117525132,0.01882713445847587,0.003473083586526743,0.0344399661008822,0.2997533774357896,0.00013516697762298516,6.954102119876227e-05,1.3142402590924247,138.74618235443722,0.01854037405651854,0.003314699693396652,1.4960441654728083,140.41543137307153,0.019159220326309952,0.00364207252872466,150,1.4454605282196729,139.60491994558515,0.01882732819038036,0.0007903110107513247,0.034440612489334846,0.29941745334874753,0.00013500239095364425,6.740983520825057e-05,1.3142465177357583,138.7403224418067,0.018542649687835484,0.0006493204033409634,1.4960413873576182,140.4136690119924,0.01915797501359939,0.0010973739001491176,150,1.4452461093297388,139.6332273112384,0.018722642359556937,0.0005456538857944378,0.03441023949716174,0.30000398668735606,0.00013330679132431556,8.66816455013216e-05,1.3140935927630173,138.74493006006153,0.018433553127734353,0.00037139351331715037,1.4960759469888891,140.47377126188206,0.01903625627762536,0.0010036702981420194,150,1.4456063984934082,139.5751562425836,0.018817535956214996,0.0005634610570192375,0.034424922182507686,0.29971891658694333,0.00013316465555216397,7.169774399055441e-05,1.3142500894513491,138.70116476085786,0.018520559161583097,0.00041659492758192447,1.4962549347743614,140.36834775876844,0.01912952828449942,0.0009350014722663355,150,1.446730395333624,139.47960970432158,0.01889184529907472,0.00044532001594748755,0.034514791620138055,0.2995053196525161,0.00013544282809124393,7.694713351365458e-05,1.3152858577601623,138.66181541656465,0.018577536626248812,0.00027246921154050295,1.4973429419230866,140.2879859819323,0.019236795710935985,0.0007811791306215524
processed_data_batch_8.npz,150,1.4552039937017172,139.49279623767117,0.01885108304851966,0.003478145910985623,0.028061030959565095,0.34835712464314683,0.0001641609916396721,6.41168180100806e-05,1.3551123429340297,138.7007071344622,0.018366244719045324,0.003319661101070403,1.4936394640722985,140.40147096671043,0.01924793020498188,0.0036685318117966746,150,1.455203327019142,139.49285838314856,0.018851081010646534,0.0007940764738428866,0.028064297227789334,0.3484267268714675,0.00016421662323253214,7.480084019361716e-05,1.3551101717718896,138.69942937611614,0.018363489577891145,0.0006417903964656495,1.4936295162446975,140.40838640186098,0.019247816550836124,0.0010503104467651336,150,1.4550167711676176,139.5168329776551,0.018749897439992055,0.0005494732865488279,0.028032111220730436,0.3487823134310334,0.0001603468958163682,8.587886802823832e-05,1.3552312555159225,138.70964030352326,0.018288094104098967,0.0003989258204395063,1.4931580059850078,140.4142980444971,0.019151555771834753,0.000801413610123154,150,1.4553697542912998,139.46057219263844,0.01884317957031695,0.0005654662721254597,0.028039932658286984,0.3481779822369455,0.00016073625531438593,7.787223801588627e-05,1.3555648073721818,138.6741473335106,0.018391232967548993,0.00042442275104876873,1.493585480981599,140.36371667935956,0.01923208698906586,0.0008550271248608922,150,1.456509058352596,139.36563005788688,0.018915874682212508,0.0004511828500036871,0.02811797581151366,0.3532331098267241,0.0001670160972861877,8.977931254593212e-05,1.3563081929508956,138.56694316803237,0.018432775163942965,0.0002940016248318151,1.4950466047990814,140.33983010041294,0.019308175545747267,0.0008333070195125273
processed_data_batch_9.npz,150,1.4423527167140555,139.83938772985883,0.018779600397252127,0.00348997968031085,0.03955491004218796,0.259981204593538,0.0001416680181810817,6.600173747727561e-05,1.240212060044713,139.04729725257926,0.018435156305541406,0.0033427484999326855,1.4990578254855975,140.5055818249858,0.01912728910219279,0.003654662837077618,150,1.442356420073256,139.83893414627676,0.01877991378581204,0.000800862609835459,0.039557165496707965,0.2602687812979153,0.00014191243408111007,6.952304911123211e-05,1.2402162814289086,139.05276426560417,0.018438042787507214,0.0006004610977507602,1.499026875692262,140.50935674910352,0.019125234934151362,0.0009761054463205563,150,1.4421642831638664,139.86391130658055,0.01867878966255004,0.0005317067252219436,0.03950510393350636,0.25390160482557844,0.00013874141966943495,8.343359585644279e-05,1.240507404689049,139.06690226063736,0.018325455370472445,0.0003751547248710896,1.4988389601497298,140.49303688670904,0.01901855799533809,0.0007998639684791812,150,1.4424865476973308,139.81045677939764,0.018770825786116423,0.0005618239545634,0.03952480113076878,0.2595371608632694,0.00014117024270277314,6.813303811518236e-05,1.2403650371385206,138.982457982617,0.018419923674443197,0.0004080110793031932,1.499142681462099,140.45710787715848,0.019112506984241658,0.0007602502795653846,150,1.4435854146752063,139.71738877820022,0.01884131486588622,0.0004597254986092673,0.039665391317622596,0.2716066166534911,0.0001442180271243519,8.568341022666908e-05,1.2404764271460789,138.8796199287073,0.01846379770795885,0.0002765995325832935,1.5007759908450717,140.42047020417607,0.01919830718623928,0.0006808603637235706
processed_data_batch_10.npz,150,1.43819568729488,139.59163037793294,0.018861798865139386,0.0034707115107264607,0.04138047707508471,0.3209175251257765,0.00017488550811522755,7.079196032553114e-05,1.264825761047033,138.83674822397103,0.018144043468123473,0.003328502325372612,1.4925484856325149,140.4621628590295,0.01926311503241218,0.0036551818794605334,150,1.4381958927491412,139.59154851795702,0.018861968045127627,0.0008111370536961311,0.04138341880613966,0.32073430539399234,0.00017483473871875477,7.281483282492533e-05,1.2648021717433846,138.8377787807346,0.01814750152544226,0.0006177551229099317,1.4925785494787676,140.46468342113548,0.019263185614497365,0.0010690537506557855,150,1.4380422439061977,139.61122428824106,0.018762823814757176,0.0005579925786060113,0.041344444389439856,0.31923383476386386,0.0001735301545446484,8.721640397774187e-05,1.2651800219484302,138.87023817786417,0.018013195980239812,0.0003832979963664912,1.4924763809648527,140.51481548023543,0.019144066141274414,0.0008922716547017064,150,1.438356027172468,139.55955921792003,0.018853260355380517,0.000577469159177401,0.04137935352041061,0.3197681040103595,0.00017355223557427845,7.645544240265376e-05,1.265129805684234,138.82212571351988,0.018118496492282487,0.0004091795421947347,1.4927643524411884,140.43623284207922,0.019234557146497938,0.0008715872627456728,150,1.4394665188703315,139.46522742243783,0.01892573588415842,0.00046422654267991135,0.041483165718316437,0.32713619890559276,0.00017766995870244288,9.308080262096624e-05,1.265579855130131,138.68119927346683,0.018172935916186645,0.0003105513617725312,1.4938962248472898,140.36462290066638,0.01933836789580146,0.0007669442322939989
